36;3;blakely79;14;1;0.048;1.0846;-0.018;0.8944;0.374;0.6526;1.142;0.4392;1.889;0.1648;1.917;0.0987;1.935;0.1191;2.439;0.0634;3.119;0.0213;3.818;0.00988;4.179;0.00939;4.357;0.00729;5.83;0.00068;5.966;0.00102;5.947;0.00083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;3;blakely79;15;1;-0.049;12.159;-0.049;0.9499;0.523;0.7734;1.256;0.3711;1.564;0.2109;1.907;0.1683;1.642;0.1288;1.723;0.1012;2.736;0.0584;3.436;0.0266;3.554;0.0402;3.76;0.0153;3.943;0.0206;3.956;0.0142;4.166;0.00892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;3;blakely79;16;1;-0.05;10.967;-0.049;0.8933;0.474;0.5777;1.326;0.2921;1.457;0.2295;1.785;0.1879;2.603;0.0728;2.981;0.0747;3.619;0.0379;4.518;0.011;4.519;0.0141;6.025;0.00297;6.153;0.00135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;3;blakely79;17;1;-0.058;11.197;-0.042;0.9024;1.672;0.3326;1.689;0.2736;2.154;0.186;2.686;0.0873;3.144;0.0686;3.418;0.0395;4.134;0.0261;4.99;0.00735;5.048;0.00592;6.194;0.0006;6.419;0.00047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;3;blakely79;18;1;-0.009;12.412;-0.025;0.9499;0.422;0.6226;0.537;0.6829;0.926;0.4936;1.05;0.4059;1.256;0.3286;1.653;0.2244;2.017;0.1581;2.19;0.1222;2.339;0.1179;2.223;0.0935;2.752;0.0843;2.876;0.0591;2.901;0.073;3.074;0.0343;3.124;0.0528;3.554;0.0364;3.669;0.0258;3.926;0.0233;3.984;0.0133;4.347;0.00793;4.546;0.00902;4.934;0.0069;5.289;0.00115;5.331;0.00277;5.454;0.00094;5.529;0.00149;;;;;;;;
41;3;blakely79;19;1;0.008;1.1786;-0.001;0.9402;0.294;0.6175;0.595;0.5601;1.215;0.2504;1.29;0.2846;2.212;0.0921;2.238;0.081;3.018;0.0293;3.638;0.0136;3.654;0.015;4.175;0.0072;4.637;0.0032;4.68;0.0024;4.722;0.00177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;3;blakely79;20;1;-0.014;13.586;-0.018;0.7997;0.373;0.6431;0.88;0.4588;1.246;0.3308;1.302;0.2578;1.932;0.1279;2.338;0.0773;2.348;0.0976;2.817;0.0358;3.225;0.0275;3.657;0.0195;3.847;0.0151;3.913;0.0128;4.35;0.00594;4.638;0.0035;4.747;0.00363;4.82;0.00267;4.835;0.00226;;;;;;;;;;;;;;;;;;;;;;;;;;
43;3;blakely79;21;1;0.;1.1628;0.066;0.9059;0.39;0.8;0.464;0.9348;0.646;0.6741;1.491;0.2746;1.524;0.2313;2.038;0.2363;2.104;0.1355;2.741;0.06;2.742;0.0858;3.197;0.0535;3.578;0.0442;3.661;0.039;3.785;0.0271;4.373;0.0178;4.423;0.0132;4.539;0.0139;4.92;0.0108;5.102;0.0071;5.143;0.00568;5.152;0.00936;5.325;0.00499;5.598;0.00245;5.473;0.00156;5.589;0.00139;5.954;0.00118;;;;;;;;;;
44;3;blakely79;22;1;-0.008;10.923;0.008;0.9543;1.516;0.2819;1.549;0.2349;2.699;0.1003;2.834;0.1096;2.948;0.0727;4.516;0.0235;4.606;0.017;5.915;0.00651;6.267;0.00213;7.527;0.00101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;3;blakely79;23;1;-0.025;11.147;0.;0.8518;1.533;0.3187;2.948;0.1059;3.928;0.0487;5.159;0.021;6.775;0.00718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
