1;1;chapman77;1;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;14;suzuki00;6;-0.062;0.9956;0.897;0.8544;1.953;0.5785;2.971;0.4188;3.947;0.2227;5.946;0.0587;8.014;0.0129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;14;suzuki00;7;-0.023;0.9955;0.972;10.014;1.969;0.7955;2.966;0.5808;3.98;0.2983;6.002;0.0558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;14;suzuki00;8;-0.012;0.9933;0.98;0.83;1.988;0.6753;3.004;0.4597;3.952;0.2689;6.022;0.0805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;14;suzuki00;9;0.032;10.159;1.007;0.8614;2.01;0.6157;3.04;0.4322;4.013;0.2014;6.003;0.0292;8.065;0.00202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;14;suzuki00;10;0.011;0.9933;0.52;0.7269;1.018;0.4778;2.026;0.2112;3.028;0.0805;4.018;0.0262;5.015;0.0111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;14;suzuki00;11;0.014;0.9673;1.013;0.7327;2.019;0.4546;3.024;0.1601;4.036;0.0445;6.055;0.00701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;14;suzuki00;12;0.041;10.021;1.665;0.8537;2.034;0.529;3.028;0.2459;4.047;0.1716;6.042;0.0212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;14;suzuki00;13;-0.025;10.298;0.927;0.974;1.945;0.7793;2.963;0.6613;3.935;0.4358;5.946;0.1367;8.013;0.0379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;14;suzuki00;14;-0.012;10.297;2.007;0.7679;2.988;0.6128;4.024;0.4509;6.019;0.2601;8.035;0.1236;10.024;0.0381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;14;suzuki00;15;0.09;10.437;1.115;0.9548;2.083;0.8391;3.076;0.5409;4.063;0.421;6.041;0.1312;8.049;0.0342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;14;suzuki00;16;0.003;10.158;0.996;0.8173;2.003;0.5348;3.002;0.3286;4.006;0.1342;5.019;0.0757;6.015;0.0298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;15;belli00;1;0.;1.;0.487;0.7231;0.988;0.5688;1.983;0.2706;3.006;0.1698;4.007;0.076;5.008;0.0369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;15;belli00;2;0.;1.;1.011;0.6186;2.008;0.3931;3.012;0.2404;4.989;0.0645;5.982;0.0269;6.982;0.0426;8.989;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;15;belli00;3;0.;1.;0.501;0.9045;0.988;0.654;1.488;0.3629;1.982;0.3096;2.996;0.1205;4.018;0.0646;5.018;0.0268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;15;belli00;4;0.;1.;2.832;0.5944;0.83;0.9927;2.089;0.7361;3.978;0.5937;4.713;0.3934;5.482;0.2163;5.978;0.2731;6.72;0.1814;8.134;0.0976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;16;tsuruoka05;1;0.52;0.67608;1.;0.48978;1.5;0.40738;2.4;0.22909;3.2;0.12023;4.8;0.03388;6.;0.01047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;17;belli08;1;-0.011;0.9987;0.484;0.7324;2.002;0.2753;2.992;0.1711;3.993;0.0763;4.994;0.0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;17;belli08;2;0.;11.054;0.33;10.148;0.682;0.9118;1.023;0.7442;2.002;0.3835;3.994;0.2271;5.984;0.0151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;17;belli08;3;-0.011;1.004;0.979;0.5546;2.002;0.2951;2.992;0.1776;4.994;0.0389;6.996;0.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;17;belli08;4;-0.011;1.004;2.08;0.7401;2.861;0.5944;5.006;0.4176;6.008;0.2679;6.756;0.1785;6.91;0.2636;8.175;0.0955;9.605;0.0862;9.979;0.0461;11.816;0.0212;12.015;0.0404;;;;;;;;;;;;;;;;;;;;;;;;;;
61;17;belli08;5;0.011;1.004;0.495;0.8737;1.001;0.7809;1.507;0.7284;2.014;0.6271;3.004;0.501;3.994;0.3355;5.006;0.2129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;18;belli98;1;1.114;0.8525;1.412;0.8189;1.672;0.7473;2.118;0.6548;2.234;0.5897;2.807;0.4759;3.364;0.3914;3.922;0.3271;4.197;0.261;4.466;0.2187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;19;hall77;1;2.036;0.8963;3.989;0.4356;5.973;0.262;7.974;0.0591;9.957;0.0202;9.977;0.0171;11.938;0.00661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;20;bird75;1;1.45;0.87096;1.97;0.70795;2.75;0.56234;3.81;0.41687;4.3;0.25704;5.71;0.13804;5.68;0.16218;7.16;0.07413;7.58;0.06026;9.49;0.02512;11.36;0.01023;12.2;0.00851;;;;;;;;;;;;;;;;;;;;;;;;;;
65;21;neubeck09;1;-0.014;10.017;0.978;0.8027;1.979;0.5925;2.98;0.4464;3.981;0.3627;4.976;0.2107;5.978;0.1357;6.976;0.0512;7.978;0.0363;8.983;0.0171;9.985;0.0119;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;21;neubeck09;2;0.;0.95912;1.;0.72645;2.;0.49286;3.;0.31413;4.;0.20856;5.;0.12496;6.;0.07375;7.;0.04332;8.;0.02062;9.;0.00985;10.;0.0058;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;22;perris86;1;0.797;0.8362;1.896;0.8063;3.014;0.5882;4.193;0.431;5.29;0.3871;6.557;0.3447;7.627;0.2548;9.946;0.1247;13.367;0.0371;16.848;0.0111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;23;bettega83;1;0.498;0.8791;0.805;0.6547;0.997;0.565;1.3;0.5431;1.491;0.4249;1.798;0.3457;1.999;0.385;1.995;0.2634;2.492;0.2633;3.001;0.2657;2.992;0.2107;4.001;0.1517;5.;0.1516;4.997;0.0536;6.989;0.0285;;;;;;;;;;;;;;;;;;;;
69;24;cox77;1;0.993;0.862;1.993;0.8006;2.487;0.6289;2.996;0.5518;4.986;0.2516;7.47;0.0888;10.003;0.0176;12.478;0.0032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;24;cox77;2;0.235;0.8018;0.482;0.6341;0.729;0.5229;0.984;0.4253;1.484;0.3146;1.993;0.2111;2.487;0.1539;3.497;0.0775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;25;wouters96;1;0.512;0.975;1.03;0.9179;1.548;0.8427;2.053;0.7689;2.558;0.7029;3.056;0.6481;3.579;0.5307;4.077;0.4567;5.01;0.3329;6.111;0.2106;7.125;0.1395;8.124;0.0877;10.183;0.0283;12.235;0.00983;14.222;0.00231;;;;;;;;;;;;;;;;;;;;
72;26;combs09;1;-0.003;10.033;1.003;0.8912;2.002;0.5975;3.001;0.4316;4.001;0.3784;4.999;0.2045;5.998;0.1312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;26;combs09;2;0.003;0.9644;1.003;0.7811;2.003;0.4924;3.001;0.2673;4.;0.1365;5.995;0.0199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;27;kitajima10;1;-0.005;1.002;0.999;0.3064;1.997;0.1345;2.995;0.0525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;27;kitajima10;2;-0.002;1.002;0.496;0.3082;0.999;0.0956;1.5;0.0283;2.;0.0087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;28;blomquist93;1;0.008;0.9987;1.363;0.5055;1.467;0.4438;2.674;0.1581;2.814;0.2292;2.981;0.1952;4.576;0.0629;4.668;0.1093;4.766;0.0505;4.888;0.1172;9.295;0.00271;9.384;0.00894;9.47;0.0102;9.585;0.00434;;;;;;;;;;;;;;;;;;;;;;
77;28;blomquist93;2;0.;0.9938;1.852;0.8098;1.954;0.7141;2.843;0.408;2.906;0.3509;3.82;0.2577;4.738;0.3925;4.83;0.3068;5.693;0.1161;5.796;0.0977;6.624;0.1497;6.743;0.1255;7.575;0.0584;7.646;0.0375;9.471;0.0131;9.585;0.00235;;;;;;;;;;;;;;;;;;
78;29;yang85;1;0.98;0.69183;3.98;0.16982;4.95;0.07762;7.01;0.0138;9.;0.00389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;29;yang85;2;2.08;0.54954;3.05;0.37154;3.59;0.25704;4.56;0.13804;5.56;0.08128;6.5;0.05623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;29;yang85;3;1.03;0.79433;2.06;0.57544;3.04;0.35481;5.02;0.18197;6.;0.0871;7.03;0.06607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;29;yang85;4;0.96;0.95499;2.04;0.70795;3.03;0.48978;3.54;0.38019;4.52;0.22387;5.51;0.15136;6.49;0.10233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;29;yang85;5;1.04;0.79433;2.04;0.6166;3.05;0.47863;4.06;0.33884;5.06;0.2138;6.04;0.12589;6.99;0.07943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;29;yang85;6;0.99;0.87096;1.97;0.6166;2.92;0.44668;4.01;0.25704;5.07;0.14791;5.98;0.1;7.;0.06166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;29;yang85;7;1.02;0.83176;3.03;0.74131;4.02;0.45709;4.98;0.302;6.03;0.14454;6.99;0.06918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;29;yang85;8;1.52;0.77625;2.5;0.66069;3.48;0.45709;4.94;0.25119;5.98;0.13183;6.95;0.06918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;29;yang85;9;2.09;0.69183;3.17;0.50119;4.13;0.32359;5.13;0.19953;6.11;0.0912;7.09;0.03981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;30;miller95;1;0.;1.;0.5;0.94;1.;0.78;2.;0.66;4.;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;31;czub08;1;0.262;10.725;0.454;0.9341;0.613;0.7957;0.876;0.7711;1.286;0.817;1.7;0.7406;2.531;0.642;3.359;0.4147;5.018;0.2667;5.849;0.1801;6.685;0.1467;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;32;kamlah11;1;-0.003;10.026;0.487;0.8519;0.994;0.6951;1.495;0.5642;1.997;0.4893;4.002;0.207;6.007;0.0548;8.013;0.0159;10.018;0.00306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;33;aoki00;1;-0.03;1.;0.97;0.89125;2.99;0.47863;4.95;0.23988;6.98;0.10233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;34;han98;1;0.006;0.9975;0.476;0.7939;1.;0.7372;1.993;0.4487;4.013;0.1253;5.999;0.039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;35;hamada10;1;0.074;1.;2.049;0.749;3.96;0.535;6.008;0.223;7.972;0.0696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;36;claesson11;1;0.;0.9986;0.497;0.9957;0.99;0.8742;1.989;0.8472;3.982;0.5252;5.998;0.3293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;36;claesson11;2;-0.004;0.9986;0.493;0.838;0.998;0.65;1.992;0.5098;3.989;0.2404;5.994;0.1179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;36;claesson11;3;0.;0.9986;0.497;0.8525;1.002;0.6391;1.997;0.6799;3.985;0.3355;5.999;0.1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;36;claesson11;4;0.;10.014;0.994;0.8793;1.989;0.6517;3.995;0.3704;6.;0.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;36;claesson11;5;0.;0.9958;0.497;0.8843;1.003;0.8742;1.997;0.7677;3.993;0.3941;6.006;0.1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;36;claesson11;6;0.;0.9986;0.497;0.7921;0.995;0.6995;1.989;0.3865;3.986;0.1179;6.;0.0341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;37;wedenberg10;1;-0.06;104.713;0.48;0.95499;0.96;0.85114;1.99;0.6166;3.15;0.38904;4.05;0.24547;5.04;0.14791;6.07;0.08511;7.03;0.04266;8.03;0.02239;9.03;0.0123;10.09;0.0055;11.05;0.00224;12.04;0.00115;13.07;0.0004;14.1;0.00015;;;;;;;;;;;;;;;;;;
100;38;miller90;1;0.;1.;0.5;0.94;1.;0.78;2.;0.66;4.;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;39;tobias80;1;4.;0.452;6.;0.241;8.;0.151;10.;0.05;12.;0.018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;39;tobias80;2;1.23;0.814;2.02;0.698;2.4;0.486;3.603;0.258;4.805;0.119;5.678;0.048;6.587;0.0216;7.482;0.0161;8.393;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;40;cox79;1;0.235;0.8018;0.482;0.6341;0.729;0.5229;0.984;0.4253;1.484;0.3146;1.993;0.2111;2.487;0.1539;3.497;0.0775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;41;ito06;1;0.02;0.97724;1.98;0.56234;4.99;0.04786;7.98;0.00263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;42;tilly99;1;1.022;11.095;1.017;0.8547;2.027;0.7156;2.022;0.616;4.03;0.4711;5.03;0.2433;6.029;0.1922;8.035;0.0567;10.029;0.0189;11.024;0.00926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
